genes,signedlogP
evm.TU.Ap1.1391,-0.407893671195872
evm.TU.Ap1.1392,0.00384238807382248
evm.TU.Ap1.1393,-5.24388523235331
evm.TU.Ap1.1394,-0.753747572533011
evm.TU.Ap1.1395,-0.0477940668715417
evm.TU.Ap1.1396,-0.945976844274777
evm.TU.Ap1.1397,-0.0622261940229875
evm.TU.Ap1.1398,NA
evm.TU.Ap1.1399,-0.991066832806638
evm.TU.Ap1.14,1.03429010059547
evm.TU.Ap1.140,0.117386783504673
evm.TU.Ap1.1400,-0.13236922504005
evm.TU.Ap1.1401,0.00237582660216178
evm.TU.Ap1.1402,-0.000928805482667553
evm.TU.Ap1.1403,-1.81787451598468
evm.TU.Ap1.1404,-0.0699557175102409
evm.TU.Ap1.1405,0.860634782041677
evm.TU.Ap1.1406,0.228610763781455
evm.TU.Ap1.1407,-3.45693242357945
evm.TU.Ap1.1408,0.680267933309635
evm.TU.Ap1.1409,-3.26002911344688
evm.TU.Ap1.141,NA
evm.TU.Ap1.1410,3.0287504157937
evm.TU.Ap1.1411,0.391733409664713
evm.TU.Ap1.1412,0.031770632546703
evm.TU.Ap1.1413,2.76813982433828
evm.TU.Ap1.1414,-6.00041590324035
evm.TU.Ap1.1415,0.0995895761316952
evm.TU.Ap1.1416,-0.040195643506995
evm.TU.Ap1.1417,-0.849958851811994
evm.TU.Ap1.1418,NA
evm.TU.Ap1.1419,1.28399144991839
evm.TU.Ap1.142,-0.252665408766658
evm.TU.Ap1.1420,0.39286605369866
